family,seed,best_epoch,best_validation_mse_standardized_target,output_scale_s,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
additive,20260840,383,0.3013992788951397,3.250886749983377,0.61328349602846,0.44408513653797355,0.7179373557559616,0.6339566993218652,0.45880030470303695,0.7024496723624009,0.632144028251623,0.45070024590511815,0.6931675534968562
additive,20260841,496,0.29964496852599537,3.2562554310183907,0.6106150171311,0.4418603153800052,0.720386600572559,0.6321090175952634,0.45567389268960623,0.7041815797081332,0.6283854191146019,0.4478405837670792,0.6968054418348049
additive,20260842,396,0.2972325172607185,3.271932171435142,0.6089676513738451,0.4412831651812711,0.7218932919262698,0.6295593102792104,0.454869026415418,0.7065632233106802,0.6268922057938958,0.4466850611880232,0.698244673968478
additive,20260843,477,0.29314226805504456,3.2584583192803946,0.6034685245909928,0.4358728536943875,0.7268933567674569,0.6252125872528742,0.4512115767697633,0.7106012389148619,0.6205228232266086,0.4406803564378696,0.7043453436483027
additive,20260844,498,0.2988490316768161,3.2801610801014385,0.6101632701807846,0.4445822655241543,0.7208001763010898,0.631268934394171,0.45760023096432795,0.7049673522259717,0.6264921778924721,0.4488972882503104,0.6986296589315413
quadratic,20260840,158,0.3752052586115656,2.93256543955219,0.7590494704415122,0.4963631167549484,0.5679209783081876,0.7073314188852884,0.504316682007384,0.6295862152010552,0.695072434716852,0.4930853167054633,0.629038076502746
quadratic,20260841,463,0.36475591826847065,2.96147055026555,0.7440492212811084,0.48757835566576924,0.5848296303670815,0.697412399768724,0.4961979478254687,0.639902114608918,0.6788522849753339,0.48551505196568034,0.6461495339009824
quadratic,20260842,433,0.3644048446927805,2.9580033761961935,1.0117556705909194,0.48953463184630125,0.232330454224995,0.6970766930732146,0.493593976429916,0.6402487048789891,0.7136853592100327,0.48671590436626677,0.608904536077354
quadratic,20260843,500,0.3638003839458076,2.9658262552478836,0.681891950090533,0.48356052012098877,0.6512982356924641,0.6964983111144166,0.4958511346574177,0.6408454464968363,0.6761269650745899,0.48394437903332915,0.648984966549762
quadratic,20260844,365,0.3668200827759769,2.9751237848984338,0.7285134680814424,0.48750761588998104,0.6019861473154067,0.6993829545223181,0.4964880364086332,0.6378643100469501,0.679157154890448,0.4846767050810334,0.6458316368037
