family,seed,best_epoch,best_validation_nll,output_scale_s,train_accuracy,train_nll,val_accuracy,val_nll,test_accuracy,test_nll,max_test_centered_logit_distance_from_train_median_in_s,finite_predictions
additive,20260920,26,0.30653563141822815,16.847794894345476,0.9105882352941177,0.24713903324297415,0.8895555555555555,0.3065356443832776,0.88,0.344482341585791,1.3697037622622905,True
additive,20260921,32,0.30541715025901794,16.42769433959854,0.9154901960784314,0.2333924629036608,0.8887777777777778,0.3054172003057087,0.8834,0.3437148903604607,1.1411689858423566,True
additive,20260922,34,0.30814194679260254,18.851760040926642,0.9191764705882353,0.22520998150013882,0.8883333333333333,0.30814193717945615,0.8824,0.33841639155358355,1.3271149293493958,True
additive,20260923,28,0.3074539601802826,15.04763127391433,0.9116862745098039,0.24045576717660122,0.8876666666666667,0.3074539790573128,0.8805,0.34254860146734695,1.3447194690240196,True
additive,20260924,34,0.3099553883075714,18.824564473822164,0.9183921568627451,0.22632407286055106,0.8874444444444445,0.3099554046296769,0.8792,0.35008394932171794,1.2572820054931302,True
quadratic,20260920,8,0.3313411772251129,18.184480349450798,0.9076470588235294,0.2571482940619196,0.8781111111111111,0.33134119230166426,0.8737,0.36718633852209404,1.5224157232506674,True
quadratic,20260921,6,0.3375588059425354,19.705887098361334,0.8982941176470588,0.28128961408830333,0.8772222222222222,0.3375588129305675,0.8674,0.37407479621895406,1.5255385387729432,True
quadratic,20260922,9,0.3381105661392212,21.900210453733774,0.9072549019607843,0.2521497521073687,0.8796666666666667,0.33811058472399064,0.8697,0.36879869677205995,1.494240564636189,True
quadratic,20260923,8,0.33457431197166443,19.550580663079437,0.9078823529411765,0.2551843237297001,0.8785555555555555,0.3345743441123133,0.867,0.3791567708975792,1.324253456018656,True
quadratic,20260924,7,0.34063854813575745,18.999495601741152,0.9026470588235294,0.26854296400746774,0.8735555555555555,0.34063853973000036,0.8725,0.36539556617205937,1.4380114834858861,True
