true_class_id,true_class_name,audit_rows,unique_endpoints,median_D_over_s,median_H_over_s,q90_H_over_s,median_chi,strict_fc_rows,strict_fc_endpoints_in_at_least_3_of_5
0,T-shirt/top,50,10,0.07238854724748131,2.332003117418223,4.922760862503942,0.9704960874121398,0,0
1,Trouser,50,10,0.15119023334016468,6.045342841245269,9.1392280935964,0.9739692097047781,0,0
2,Pullover,50,10,0.06980589428002919,1.5429980809656976,4.641080385525415,0.9585801389711679,3,0
3,Dress,50,10,0.09499304689520469,5.135644090216269,11.522455075726379,0.9785394834489347,3,1
4,Coat,50,10,0.05035139099135782,1.5785576065582914,5.539302083946116,0.971580645992099,4,1
5,Sandal,50,10,0.13118194392115756,7.900371368674779,11.936085591941366,0.9834289981625042,0,0
6,Shirt,50,10,0.06949623578761886,2.299630926016453,7.899076583866584,0.9686117814272582,2,0
7,Sneaker,50,10,0.12712397338217024,7.185312196147956,9.535379131094837,0.9825025996151674,0,0
8,Bag,50,10,0.13223414548318868,4.8429903408286705,12.161515520987951,0.9774223547488697,1,0
9,Ankle boot,50,10,0.12555714214860028,7.0992822192115534,9.370197628308446,0.982494322372514,0,0
