audit_id,official_test_index,true_class_id,true_class_name,strict_fc_seed_count,visible_agreement_seed_count,material_hidden_seed_count,correct_classification_seed_count,median_D_over_s,median_H_over_s,min_H_over_s,max_H_over_s,median_chi
0,280,0,T-shirt/top,0,0,5,5,0.06194682141915726,3.2164705504044186,2.5370234744809768,4.604222463332902,0.9833247198439616
1,1403,0,T-shirt/top,0,0,5,5,0.06391346594984298,2.8418309334785357,2.0918186429985983,4.313968111648921,0.9805507830367467
2,1512,0,T-shirt/top,0,0,5,5,0.06282392027132135,1.7845367803532384,1.495912505507674,2.232315699778499,0.9672913555556694
3,3341,0,T-shirt/top,0,0,5,5,0.09576937394731742,6.333289599852241,4.012611201374535,7.370790753543289,0.9847731469392498
4,4116,0,T-shirt/top,0,0,5,5,0.08724717549705086,1.5064757288478214,1.2843876608048534,1.633146346525139,0.9406397338396647
5,5544,0,T-shirt/top,0,0,5,5,0.09163026029696798,4.586367779294351,3.7332984605559876,5.859206033389366,0.979758789843148
6,6708,0,T-shirt/top,0,0,5,5,0.05665216129704238,0.9146265545101223,0.7662026505252123,1.1564336093541092,0.9466880550623413
7,7346,0,T-shirt/top,0,0,5,4,0.06335731960116862,1.125987133315586,0.8747254019128123,2.468272230832254,0.9478716360747871
8,7393,0,T-shirt/top,0,0,5,0,0.07853129741769513,3.2755982864593625,1.6542982061973814,4.5358421895736525,0.9769465881377257
9,8134,0,T-shirt/top,0,0,5,5,0.0798686147375903,2.206280215970806,1.9641718887632096,3.363397878371243,0.9748352399859039
10,555,1,Trouser,0,0,5,5,0.14767340133188325,6.582913380233022,4.4836437911753615,9.099889465393495,0.9733848405455318
11,1680,1,Trouser,0,0,5,5,0.1266483727983669,5.824895403929997,5.487661566411547,10.23445072264298,0.9818504208989063
12,2586,1,Trouser,0,0,5,5,0.15824188792971164,5.867889642145849,4.552251175605237,8.15865084720477,0.976840321430203
13,3766,1,Trouser,0,0,5,5,0.1630179094796686,6.065146768270669,4.66477679065198,9.493275747422526,0.9709451709400757
14,4718,1,Trouser,0,0,5,5,0.11310465322351096,4.32902205244994,2.9077808273594825,6.035719288114287,0.9731369503065141
15,4831,1,Trouser,0,0,5,5,0.16560206406874986,7.797845621921182,5.2749276239013385,10.523991842851757,0.9741127288432868
16,6080,1,Trouser,0,0,5,5,0.2025137678418611,6.680057487922638,4.412332021431478,9.004502653289327,0.9758731957534909
17,6208,1,Trouser,0,0,5,5,0.22522174652852656,6.508140587298923,5.58202579660286,10.13167731350459,0.967749301456644
18,7156,1,Trouser,0,0,5,5,0.15404796458353065,6.076299473478318,4.466600331022306,7.682139185103819,0.9781026002210773
19,8365,1,Trouser,0,0,5,5,0.15465423232979886,5.957788913904732,5.272086657947068,10.274501609364197,0.9717664894388001
20,368,2,Pullover,0,0,5,4,0.13425953928097084,6.245796380086007,6.11588567506415,7.260605293270713,0.978518972811572
21,750,2,Pullover,0,0,5,5,0.08649569494342456,2.5737462600109327,2.264532241637392,3.964938211583643,0.9668681941831279
22,1640,2,Pullover,0,0,5,5,0.06796382343306066,0.7016813716823088,0.6286144222462898,1.1493414208652941,0.9367647453039976
23,2633,2,Pullover,0,0,5,5,0.06890575103969876,2.225295536120124,1.7130472021589385,2.9703721320996976,0.9665285534143597
24,2999,2,Pullover,1,1,5,3,0.028464749965324557,0.19230745985690295,0.14898583842527888,0.24931767957813333,0.8721515186182374
25,6288,2,Pullover,0,0,5,5,0.07040817666419483,2.0256499001268673,1.1599620475315984,2.3329899010667914,0.9652142250464947
26,6518,2,Pullover,2,2,5,5,0.04048283910015446,0.723900868245857,0.6771086012929304,0.8483908886339804,0.9470385897670249
27,7013,2,Pullover,0,0,5,3,0.054234532996347444,2.6167560153788796,2.202872392750695,4.47721313113222,0.9786946901156724
28,7633,2,Pullover,0,0,5,5,0.11541999465359691,1.3296200344268185,0.9538858772719666,1.569767674969498,0.9178804930570686
29,8675,2,Pullover,0,0,5,5,0.05974162567075235,0.7350702471835596,0.6692700457277514,1.4241376157487884,0.9528152406318914
