audit_id,dataset_index,target,mlp_median_D_over_s,mlp_median_H_over_s,mlp_median_chi,mlp_visible_seed_count,mlp_material_seed_count,mlp_fc_seed_count,crossnet_median_D_over_s,crossnet_median_H_over_s,crossnet_median_chi,crossnet_visible_seed_count,crossnet_material_seed_count,crossnet_fc_seed_count,delta_H_mlp_minus_crossnet,delta_D_mlp_minus_crossnet,shared_fc_any
0,18834,0.557,0.1132028928668567,3.338136383844236,0.9583699920693644,0,5,0,0.5881774397380638,1.865429496075032,0.7641424375303415,0,5,0,1.472706887769204,-0.4749745468712071,False
1,12797,0.598,0.1259358747928108,0.9951577737777456,0.8875491583272558,0,5,0,0.1243990755883761,0.3901173303322311,0.7565993644349319,0,5,0,0.6050404434455146,0.0015367992044346968,False
2,19817,0.656,0.009320585942175,0.0458578753917029,0.901122287980027,5,2,2,0.0053118571310504,0.0224662105015709,0.7465780455185506,5,0,0,0.023391664890132,0.0040087288111246,False
3,2319,0.682,0.0257164544384964,0.1633347034138406,0.8778088589191876,1,5,1,0.0124367259872908,0.0268930747960429,0.6860242289968557,5,0,0,0.13644162861779768,0.013279728451205598,False
4,2961,0.699,0.0665359535416445,0.3733464244237042,0.9018711343435442,0,5,0,0.0152393552213757,0.1177456888945597,0.8779885041937234,4,5,4,0.2556007355291445,0.0512965983202688,False
5,9528,0.7,0.2297418997423224,3.681956242549148,0.941267988636838,0,5,0,0.5451325385532063,2.0768816561055106,0.7577445926515849,0,5,0,1.6050745864436373,-0.3153906388108839,False
6,2903,0.725,0.1319616995641094,2.374945565395555,0.9500968659038486,0,5,0,0.0486201313513701,0.5472405260216215,0.9086004356937908,0,5,0,1.8277050393739336,0.08334156821273932,False
7,2561,0.741,0.3109516005009892,5.26032004765471,0.9351157079173508,0,5,0,1.4707892768101074,3.8299672161901017,0.6654301150038506,0,5,0,1.430352831464608,-1.1598376763091183,False
8,9579,0.797,0.1120530356667267,0.9670896773819442,0.9012713113228686,0,5,0,0.0381252278996954,0.1953089666054934,0.8366767645995068,0,5,0,0.7717807107764507,0.0739278077670313,False
9,12279,0.819,0.0948017977464771,1.1180437098803548,0.928308386824014,0,5,0,0.070959154850654,0.2527683386633662,0.7689338155803721,0,5,0,0.8652753712169887,0.023842642895823093,False
10,5210,0.904,0.1857912363265458,1.63842473179965,0.9431767729299272,0,5,0,0.0517840599952672,0.3720125405337622,0.8727383870307901,0,5,0,1.2664121912658879,0.1340071763312786,False
11,7482,0.932,0.2055034186829042,1.5477057900825302,0.897091464493519,0,5,0,0.0765508357981225,0.4059548185497918,0.8447889088746519,0,5,0,1.1417509715327383,0.1289525828847817,False
12,13055,0.961,0.139355030748235,0.5123294769843059,0.8044385430812514,0,5,0,0.0866167408752464,0.1836433892765716,0.6619422460254004,0,5,0,0.3286860877077343,0.05273828987298859,False
13,12827,0.962,0.114917772091127,0.4622003554668414,0.8631717208874103,0,5,0,0.1206246925487922,0.2020315243189673,0.6191170394828802,0,5,0,0.26016883114787415,-0.005706920457665202,False
14,2997,1.002,0.032754715570633,0.1499362561604681,0.8416142180644354,1,5,1,0.0079274092143439,0.0263510844140875,0.6939126238747543,5,0,0,0.1235851717463806,0.024827306356289103,False
15,5030,1.01,0.2220100066384742,1.444253174199494,0.9115135462319156,0,5,0,0.038729223429261,0.3181743783023334,0.8914854788762067,0,5,0,1.1260787958971605,0.1832807832092132,False
16,9116,1.026,0.0821123229175539,1.7717211213387334,0.9568990747549068,0,5,0,0.0172842969032619,0.3421885849879242,0.94543512048746,3,5,3,1.4295325363508091,0.064828026014292,False
17,20015,1.034,0.0066136724007305,0.0236283056182956,0.8759835067072589,5,2,2,0.0035357629203437,0.0110613650849157,0.7296583468101635,5,0,0,0.012566940533379901,0.0030779094803868,False
18,1857,1.059,0.1608405742780434,1.2255089395215164,0.8267455437310302,0,5,0,1.5282781315316256,1.289677851961291,0.4496085074439555,0,5,0,-0.06416891243977463,-1.3674375572535822,False
19,19048,1.075,0.0741769287383162,0.4897936061078106,0.9197849029501202,2,5,2,0.1899771265729926,0.2512862567178155,0.5078342877336716,0,5,0,0.23850734938999507,-0.11580019783467639,False
