family,seed,audit_id,dataset_index,target,output_scale_s,resolved,certification_pass,quadrature_order,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,interaction_pot_mass_M,R_over_M,H_over_M,signed_cosine,spearman_abs,top3_jaccard,false_consensus_primary,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error,R_order2,R_order2_over_s,R_order3,R_order3_over_s,R_order4,R_order4_over_s,R_order5,R_order5_over_s,R_order6,R_order6_over_s,R_order7,R_order7_over_s,R_order8,R_order8_over_s,bshap_0,ig_0,bshap_1,ig_1,bshap_2,ig_2,bshap_3,ig_3,bshap_4,ig_4,bshap_5,ig_5,bshap_6,ig_6,bshap_7,ig_7
softplus_mlp,20260840,0,18834,0.557,3.5638500924200676,True,True,128,5.816191972485285e-11,0.09707394753029308,12.215831935580074,0.3192142755060031,11.896617660074071,0.9738688058914553,3.4277064463406743,0.08957006249643837,3.338136383844236,22.923011120560684,0.532906949760328,0.5189814548143484,0.9063182916471583,0.7619047619047621,0.5,False,0.9730406791288826,1.6431300764452317e-14,1.1102230246251565e-16,5.551115123125783e-17,2.220446049250313e-16,2.831068712794149e-15,1.8041124150158794e-16,4.440892098500626e-16,1.730378290534024,0.4855362166367086,3.5419089358902416,0.9938434120513395,3.334377408503441,0.9356110167471156,2.346051379869986,0.6582912633894981,0.9642616588853271,0.2705674015122605,0.25893512237454347,0.0726560084346059,0.039919139522503644,0.011201127569144233,-0.5016628786031871,-0.31071278436385236,0.18426436687588088,0.1477497832536247,-0.05686645690946935,-0.10587168399644997,0.018670621612590685,-0.05276388523485559,0.05341235226070068,-0.008600453836684622,0.07857337962347394,0.2068375608901434,0.200952556872247,0.13332797691417608,0.11973000579805661,0.08710743390419426
softplus_mlp,20260840,1,12797,0.598,3.5638500924200676,True,True,128,6.400435736964027e-14,0.059589763961653164,4.222075279010863,0.47477591873045827,3.7472993602804046,0.8875491583272558,1.1846949701927054,0.13321994652363647,1.051475023669069,8.335426675280692,0.5065217946828962,0.44956299254521553,0.49725630054769787,0.9523809523809524,1.0,False,0.3365710364956119,1.0103029524088925e-14,1.6653345369377348e-16,4.85722573273506e-17,2.220446049250313e-16,9.43689570931383e-16,2.220446049250313e-16,4.440892098500626e-16,1.0843878708646586,0.30427426596057927,1.5124877697499295,0.424397135268633,1.0181428486843282,0.28568621638991226,0.4373096545507631,0.12270708453222387,0.135014111582288,0.03788434083393371,0.0318857719443818,0.008947001449976661,0.002847251634507128,0.0007989257574449979,-0.08060340613815528,-0.04264899357141192,-0.14525838288469436,-0.14504916367534026,-0.09987048133482555,-0.1418717103198273,-0.0017021985998625533,-0.0065245770075012186,0.006739731505104876,0.030957948787782,-0.07784542841049351,-0.08433058882385874,0.20713510452515904,0.6195291741968423,0.25099482529942074,-0.17047232562503267
softplus_mlp,20260840,2,19817,0.656,3.5638500924200676,True,True,32,4.754217852731557e-13,-0.05908372797979955,0.14883259427752077,0.017740746645583755,0.13109184763193701,0.880800662437534,0.04176174373722171,0.004977972188930294,0.03678377154829142,0.8831845224912744,0.1685181187932233,0.1484308706657981,0.9964232646519001,1.0,1.0,False,0.007658046047283741,1.5648073115048788e-14,2.7755575615628914e-17,1.3877787807814457e-17,3.885780586188048e-16,5.412337245047638e-16,2.2551405187698492e-17,4.440892098500626e-16,0.048477417291043046,0.013602541081665974,0.0507296016246077,0.01423449368212883,0.03349115062177243,0.009397463348137052,0.012732357576665071,0.0035726411735851208,0.0030113003198465847,0.0008449570665868641,0.0003739766462950738,0.00010493613272075686,1.6790197289707175e-05,4.711252396787999e-06,-0.04028220565419326,-0.037382632879841275,0.04221971205997682,0.03956552855441276,-0.08127913534254558,-0.08407208331263871,-0.011430521412773882,-0.005821961165730511,-0.012603680066409323,-0.012734574046340288,-0.051792932001597125,-0.06395565319159265,0.1026368630120606,0.10964757659062714,-0.006551828574317412,-0.0043299285286954765
softplus_mlp,20260840,3,2319,0.682,3.5638500924200676,True,True,32,7.764379417185552e-13,-0.005634851083527348,0.30786490391727506,0.03298658842904998,0.27487831548822506,0.8928536900136117,0.08638548085175389,0.009255885509665227,0.07712959534208866,1.4421051487933008,0.2134829795004094,0.19060906600204075,0.9942947298744664,0.9761904761904763,0.5,True,0.018829654781457178,1.1184412770925967e-14,1.1102230246251565e-16,5.551115123125783e-17,4.996003610813204e-16,3.885780586188048e-16,8.066464163292153e-17,4.440892098500626e-16,0.08461904128097622,0.023743715107701072,0.1334756327163132,0.03745265071620205,0.06647652947350552,0.018653009455951605,0.0182860294226315,0.005130976036709275,0.0045290351661425084,0.001270826507482817,0.00047164369981667715,0.00013234106025385677,6.992157887974657e-06,1.9619674527966926e-06,-0.044045663018577125,-0.03210050663908378,0.009243394766590205,0.010583609508220604,-0.07545704319270538,-0.09142865313004218,-0.0680373478486462,-0.04881641337451958,-0.0038265968819532897,-0.0043378565654083575,-0.011489479688079469,-0.020490415819479753,0.24709460332405864,0.23959182064720072,-0.059116718544214214,-0.058636435710414624
softplus_mlp,20260840,4,2961,0.699,3.5638500924200676,True,True,32,1.9219903446554554e-12,0.34042784662067405,1.4542153803163544,0.12366469112923424,1.3305506891871202,0.9149612273373618,0.40804616990184767,0.03469974547814342,0.37334642442370425,6.671257716414507,0.21798219198432167,0.1994452539156634,0.9752419159417245,0.7619047619047621,0.5,False,0.047310443884845045,1.1962653090336062e-14,6.938893903907228e-17,4.163336342344337e-17,4.440892098500626e-16,2.220446049250313e-16,4.85722573273506e-17,4.440892098500626e-16,0.21632363402168864,0.06069942012482123,0.40718554099019844,0.11425439634967785,0.38789247371170094,0.10884085010666056,0.25406693672071157,0.07129001785487137,0.13750681811616797,0.03858378286130228,0.04570120887113622,0.01282354972459079,0.005538767884749236,0.001554152879923207,-0.09871242708110335,-0.059536670191734864,0.054603460317459176,0.03315449671472344,-0.08994133098005398,-0.08520593808087909,-0.010294444243866132,0.010992820848876386,0.3173925783854323,0.2592872919819797,0.07119301391282451,0.09701399511702462,0.08909619272079934,0.04498575159775313,0.007090803589182671,0.03973609863293048
softplus_mlp,20260840,5,9528,0.7,3.5638500924200676,True,True,128,8.931895223440733e-10,0.13256825374727899,13.940705785924862,0.8187656906294376,13.121940095295425,0.941267988636838,3.91169814229147,0.2297418997423224,3.681956242549148,26.80445919104523,0.5200890525924933,0.48954317644577483,0.5139410218921567,0.6666666666666669,0.5,False,1.1372531931674534,1.2916656633166212e-10,3.3306690738754696e-16,2.220446049250313e-16,6.661338147750939e-16,4.3298697960381105e-15,3.3306690738754696e-16,4.440892098500626e-16,2.6378958156110586,0.7401814743054385,4.549486307786016,1.2765650040842886,3.9896879870647104,1.1194881612866812,1.9736651658752162,0.5538013986820022,0.6917543347271035,0.19410309546924878,0.09034136033387366,0.025349371604047034,0.007874814482175047,0.002209636847218671,-0.3357821910982882,-0.14299785744373011,-0.11228463218228275,-0.2002951293885225,-0.09951713403341761,-0.21475314984407137,-0.005532554454658787,0.008751485387142278,0.17529512815259649,0.19645869867966886,-0.04137413910347024,-0.05402883332960274,0.8790761176877985,0.27621163430138473,-0.3273123412209977,0.2632214053850056
softplus_mlp,20260840,6,2903,0.725,3.5638500924200676,True,True,64,8.955336472382669e-12,0.2672005749885684,8.827746951344018,0.47029171518746055,8.357455236156557,0.9467257367276642,2.477025330027125,0.1319616995641094,2.3450636304630157,27.79330296815359,0.3176213694881504,0.3007003250291188,0.866752767482177,0.523809523809524,0.5,False,0.2155022166629807,1.3145734500952244e-14,3.0531133177191805e-16,1.6653345369377348e-16,2.7755575615628914e-16,2.220446049250313e-16,1.6653345369377348e-16,4.440892098500626e-16,0.7616826910919527,0.21372467172846898,1.8345624706412391,0.514769820016605,2.706990785720552,0.7595692062014716,2.0966714839301313,0.5883164076933342,1.0509189543561575,0.29488304140270966,0.3334189289780509,0.09355582314957572,0.04350163662593124,0.012206359834959003,0.601440492571862,0.5776055608916213,-0.20517367713499002,0.05827716854284227,-0.31084005258148495,-0.46388409473808545,-0.11396018600178287,-0.0851644408015987,0.12129374280538746,0.1548256633490747,0.026603506732309636,-0.0951654476361423,0.25311566620144543,0.08147187921927815,-0.10527891760417805,0.0392342861615787
softplus_mlp,20260840,7,2561,0.741,3.5638500924200676,True,True,128,2.2293786150484607e-08,-0.0442458771609302,20.047777969365804,1.3007858813724344,18.74699208799337,0.9351157079173507,5.625314603441179,0.3649945557864705,5.26032004765471,34.43507468626381,0.5821906341722815,0.5444156070168643,0.17289248433830853,0.4523809523809524,0.5,False,1.5471017911084597,4.931699493226915e-10,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,3.219646771412954e-15,4.440892098500626e-16,4.440892098500626e-16,2.5955072132512136,0.7282874267836301,5.577251911187631,1.5649513213392046,5.632373251465892,1.58041811675675,3.8419608528067295,1.0780366045637482,1.7925044704953508,0.5029685379606225,0.5277252164887419,0.1480772767662584,0.08045505360188836,0.02257531925178552,-0.49257836385533293,-0.297941834966114,-0.30482393325953827,-0.22027865158228782,-0.08091033234897232,-0.11045587918159135,0.0336634550150053,-0.0035445233376815276,0.06217351444267149,0.015539304217159029,0.011908756039780952,0.13343869194403482,1.273930913552174,0.0865327675905565,-0.5476098867467182,0.3524642481549909
softplus_mlp,20260840,8,9579,0.797,3.5638500924200676,True,True,64,2.7590152384959765e-12,0.15112694862231923,3.711553403591437,0.4200975721632,3.291455831428237,0.8868135450356991,1.04144487207403,0.11787745311080933,0.9235674189632206,9.036599109816722,0.4107245832737526,0.36423612372630676,0.37278756285251796,0.4285714285714286,0.5,False,0.3724911151701136,1.3253287356462806e-14,1.1102230246251565e-16,5.551115123125783e-17,3.608224830031759e-16,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,0.8291294376130801,0.23264991964071408,0.9768822978519038,0.27410869495594925,1.0897335220764064,0.30577423118726416,0.5669949184411678,0.15909617513012292,0.20330035321424994,0.05704514722621142,0.04317871561352242,0.01211574967907853,0.0023341587811049813,0.0006549542546891886,-0.2768435027721523,-0.2471430628138545,0.09716358017379602,0.059391419263747317,-0.03195025150446971,-0.04241770715762444,-0.0060271450350139364,0.004480684703755829,0.09895207885700776,0.1156515855406136,-0.03709683444416639,-0.05468026864642455,0.015938731337879958,0.3791285271204063,0.29099029200943827,-0.06328422938830017
softplus_mlp,20260840,9,12279,0.819,3.5638500924200676,True,True,128,3.042011087472929e-14,0.06316630567767079,5.013190090500695,0.3594036847458617,4.653786405754833,0.928308386824014,1.4066781599942209,0.10084702650941334,1.3058311334848074,13.6802578569016,0.36645435655816777,0.3401826525811447,0.9904498888837756,0.8571428571428572,1.0,False,0.30736576784686453,1.2486105899212063e-14,2.220446049250313e-16,1.6653345369377348e-16,6.661338147750939e-16,1.942890293094024e-15,1.1102230246251565e-16,4.440892098500626e-16,0.7472452663147997,0.2096735965140934,1.7939279999080915,0.5033679737886806,1.4552466321458863,0.4083355344381746,0.7412797963664373,0.2079997129910321,0.23565292079052452,0.06612312939080502,0.03849717333199856,0.010802130374079982,0.001340301642951143,0.00037608249735358477,-0.3840701406202195,-0.20595992050630405,0.016756449777493954,0.03125974209210839,-0.14223894244258906,-0.16944606341939325,0.0050711333937855305,-0.05450642194541041,0.006859846632548377,0.00522425385838793,0.04467821129917651,0.03723376947802987,1.01652936543552,0.7529903916009644,-0.5004196177980444,-0.333629445480714
