beta_requested,rep,d,m_edges,beta_formula,rank_B,numerical_nullity,rank_tolerance,R_hidden,D_hidden,H_hidden,max_abs_Ah,l2_Ah
0,60,12,11,0,11,0,6.111064825794427e-15,0.0,0.0,0.0,0.0,0.0
0,61,12,11,0,11,0,5.835146273667329e-15,0.0,0.0,0.0,0.0,0.0
0,62,12,11,0,11,0,5.576381585807702e-15,0.0,0.0,0.0,0.0,0.0
0,63,12,11,0,11,0,6.172921840323242e-15,0.0,0.0,0.0,0.0,0.0
0,64,12,11,0,11,0,5.6756001209955465e-15,0.0,0.0,0.0,0.0,0.0
0,65,12,11,0,11,0,5.7822719589123245e-15,0.0,0.0,0.0,0.0,0.0
0,66,12,11,0,11,0,6.151909054779776e-15,0.0,0.0,0.0,0.0,0.0
0,67,12,11,0,11,0,5.618513165629183e-15,0.0,0.0,0.0,0.0,0.0
0,68,12,11,0,11,0,5.8135788608350545e-15,0.0,0.0,0.0,0.0,0.0
0,69,12,11,0,11,0,6.186063576802851e-15,0.0,0.0,0.0,0.0,0.0
0,70,12,11,0,11,0,6.6317501463399675e-15,0.0,0.0,0.0,0.0,0.0
0,71,12,11,0,11,0,5.711835057978254e-15,0.0,0.0,0.0,0.0,0.0
0,72,12,11,0,11,0,6.162022072983514e-15,0.0,0.0,0.0,0.0,0.0
0,73,12,11,0,11,0,5.803847505792071e-15,0.0,0.0,0.0,0.0,0.0
0,74,12,11,0,11,0,5.918612149252671e-15,0.0,0.0,0.0,0.0,0.0
0,75,12,11,0,11,0,5.7884248351439926e-15,0.0,0.0,0.0,0.0,0.0
0,76,12,11,0,11,0,6.138667327391298e-15,0.0,0.0,0.0,0.0,0.0
0,77,12,11,0,11,0,6.171283597558036e-15,0.0,0.0,0.0,0.0,0.0
0,78,12,11,0,11,0,5.914061844987507e-15,0.0,0.0,0.0,0.0,0.0
0,79,12,11,0,11,0,5.744470533731761e-15,0.0,0.0,0.0,0.0,0.0
0,80,12,11,0,11,0,6.061394137293844e-15,0.0,0.0,0.0,0.0,0.0
0,81,12,11,0,11,0,5.9519814184383756e-15,0.0,0.0,0.0,0.0,0.0
0,82,12,11,0,11,0,6.185127470201567e-15,0.0,0.0,0.0,0.0,0.0
0,83,12,11,0,11,0,5.814047577431469e-15,0.0,0.0,0.0,0.0,0.0
0,84,12,11,0,11,0,6.066443495202018e-15,0.0,0.0,0.0,0.0,0.0
0,85,12,11,0,11,0,5.5881857760649375e-15,0.0,0.0,0.0,0.0,0.0
0,86,12,11,0,11,0,6.152021657867955e-15,0.0,0.0,0.0,0.0,0.0
0,87,12,11,0,11,0,6.560477335267884e-15,0.0,0.0,0.0,0.0,0.0
0,88,12,11,0,11,0,6.120031491785204e-15,0.0,0.0,0.0,0.0,0.0
0,89,12,11,0,11,0,6.584805943664251e-15,0.0,0.0,0.0,0.0,0.0
0,90,12,11,0,11,0,5.891244833988439e-15,0.0,0.0,0.0,0.0,0.0
0,91,12,11,0,11,0,6.081620857507251e-15,0.0,0.0,0.0,0.0,0.0
0,92,12,11,0,11,0,5.833603846004074e-15,0.0,0.0,0.0,0.0,0.0
0,93,12,11,0,11,0,5.7112349822520324e-15,0.0,0.0,0.0,0.0,0.0
0,94,12,11,0,11,0,5.9007322695357186e-15,0.0,0.0,0.0,0.0,0.0
0,95,12,11,0,11,0,6.188397192790198e-15,0.0,0.0,0.0,0.0,0.0
0,96,12,11,0,11,0,5.835146273667323e-15,0.0,0.0,0.0,0.0,0.0
0,97,12,11,0,11,0,6.165308402007108e-15,0.0,0.0,0.0,0.0,0.0
0,98,12,11,0,11,0,5.711234982252026e-15,0.0,0.0,0.0,0.0,0.0
0,99,12,11,0,11,0,6.588149407730064e-15,0.0,0.0,0.0,0.0,0.0
1,0,12,12,1,11,1,5.788875550886614e-15,1.0000000000000002,5.926035240942297e-16,0.9999999999999997,3.147186453188682e-16,4.948416269741028e-16
1,1,12,12,1,11,1,6.068189346214752e-15,1.0,3.706072864399866e-16,0.9999999999999997,1.2490009027033006e-16,2.5819278955810556e-16
1,2,12,12,1,11,1,6.3673207527037925e-15,1.0,3.955169525227119e-16,0.9999999999999996,1.942890293094024e-16,2.7814838660397943e-16
1,3,12,12,1,11,1,6.632277222121633e-15,1.0000000000000002,9.952152008205484e-16,0.9999999999999992,3.5254315917031956e-16,6.920510562239167e-16
1,4,12,12,1,11,1,6.121674795058335e-15,0.9999999999999998,3.574462603519096e-16,0.9999999999999994,1.3877787807814457e-16,2.551400245361135e-16
1,5,12,12,1,11,1,6.129141438152057e-15,1.0,2.4780741986961426e-16,0.9999999999999998,8.012344526598184e-17,1.7407267962461114e-16
1,6,12,12,1,11,1,6.090394823021508e-15,1.0,1.755540157688527e-15,0.9999999999999982,9.575673587391957e-16,1.384050532201288e-15
1,7,12,12,1,11,1,6.452867919464969e-15,1.0,2.362437477365628e-16,0.9999999999999998,1.2490009027033006e-16,1.8818147163284814e-16
1,8,12,12,1,11,1,6.7870238644218995e-15,1.0,3.191891195797325e-16,0.9999999999999997,1.942890293094024e-16,2.6567900267388875e-16
1,9,12,12,1,11,1,5.855096168764477e-15,1.0,1.7991348081796416e-15,0.9999999999999982,8.881784197001252e-16,1.3430180901921827e-15
1,10,12,12,1,11,1,5.8345286917438465e-15,0.9999999999999999,5.424917642623767e-15,0.9999999999999944,1.9830366464711855e-15,3.666005362500211e-15
1,11,12,12,1,11,1,6.2092676739376186e-15,1.0,1.602492790957059e-16,0.9999999999999999,8.326672684688674e-17,1.3030097717087442e-16
1,12,12,12,1,11,1,7.118606792630284e-15,1.0000000000000002,2.5531228180147637e-16,1.0,6.565566791455524e-17,1.5947753967819216e-16
1,13,12,12,1,11,1,5.984084640976297e-15,1.0,1.0384172474320772e-16,0.9999999999999999,4.361718056291991e-17,8.484464475740052e-17
1,14,12,12,1,11,1,6.079427279789978e-15,1.0,3.249193497561603e-16,0.9999999999999997,1.38406911868928e-16,2.2889527187460734e-16
1,15,12,12,1,11,1,5.708273032771206e-15,0.9999999999999998,9.481744544572552e-16,0.9999999999999988,6.890616292874431e-16,8.710849278677173e-16
1,16,12,12,1,11,1,5.8639720488526974e-15,0.9999999999999999,3.3630177507125577e-16,0.9999999999999996,2.220446049250313e-16,3.021737695062538e-16
1,17,12,12,1,11,1,5.740318378294381e-15,1.0000000000000002,2.2688748714952555e-16,1.0,1.1102230246251565e-16,1.8350806269126145e-16
1,18,12,12,1,11,1,6.214463106874008e-15,1.0,2.7308396746135348e-16,0.9999999999999998,1.1102230246251565e-16,2.0767411873988437e-16
1,19,12,12,1,11,1,6.266387877396178e-15,1.0,4.065221077136331e-16,0.9999999999999996,2.935355661608333e-16,3.7702216673747503e-16
1,20,12,12,1,11,1,5.7444705337317625e-15,1.0,4.283541249309093e-16,0.9999999999999996,2.220446049250313e-16,3.186459728798501e-16
1,21,12,12,1,11,1,6.188521978880994e-15,1.0,2.5785031630051144e-16,0.9999999999999998,8.024310451977235e-17,1.6736425903245985e-16
1,22,12,12,1,11,1,6.690273827289894e-15,1.0000000000000002,1.6453852169639962e-15,0.9999999999999986,1.4172690798730467e-15,1.9630832679514345e-15
1,23,12,12,1,11,1,6.300026784378778e-15,1.0,2.5690344055512326e-16,0.9999999999999998,1.026848879677573e-16,1.8729032573163644e-16
1,24,12,12,1,11,1,6.790350517723887e-15,1.0000000000000002,3.3186072711387354e-16,0.9999999999999999,1.6653345369377348e-16,2.356925130498503e-16
1,25,12,12,1,11,1,6.073387629415216e-15,1.0,3.049948972950249e-15,0.999999999999997,1.7386787622717905e-15,2.8249098573682808e-15
1,26,12,12,1,11,1,6.177601232255282e-15,1.0,2.4257482446272743e-16,0.9999999999999998,1.1102230246251564e-16,1.707362951663764e-16
1,27,12,12,1,11,1,5.932225081580872e-15,1.0,2.923006213210414e-16,0.9999999999999997,1.1947195612502497e-16,2.197915469143253e-16
