alpha,ledger_displacement_R,aggregate_displacement_D,max_abs_aggregate_margin
0.0,0.0,0.0,0.0
0.25,0.25,4.515352741852295e-17,1.474514954580286e-17
0.5,0.5,9.03070548370459e-17,2.949029909160572e-17
1.0,1.0,1.806141096740918e-16,5.898059818321144e-17
2.0,2.0,3.612282193481836e-16,1.1796119636642288e-16
4.0,4.0,7.224564386963672e-16,2.3592239273284576e-16
